sample_id,language,smell_type,project_name,project_path,location,metric_value,evidence,reported_occurrence_count,listed_occurrence_count,group_occurrences,test_status,test_file,test_command,test_coverage,test_commit
1,java,nested_complexity,Mindustry-v154.3,/opt/projects/Mindustry-v154.3,annotations/src/main/java/mindustry/annotations/impl/StructProcess.java:24,34.0,"The method 'process(RoundEnvironment)' has a cognitive complexity of 34, current threshold is 20",1,1,"{""file"": ""annotations/src/main/java/mindustry/annotations/impl/StructProcess.java"", ""class"": ""StructProcess"", ""method"": ""process"", ""begin_line"": ""24"", ""end_line"": ""24""}",PASS_GE80,tests/src/test/java/MindustryStructProcessCoverageBoost_ESTest.java,./gradlew :tests:cleanTest :tests:test --tests MindustryStructProcessCoverageBoost_ESTest --no-build-cache --no-daemon,100.0,acde88dcdf
2,java,nested_complexity,Mindustry-v154.3,/opt/projects/Mindustry-v154.3,annotations/src/main/java/mindustry/annotations/misc/LogicStatementProcessor.java:17,22.0,"The method 'process(RoundEnvironment)' has a cognitive complexity of 22, current threshold is 20",1,1,"{""file"": ""annotations/src/main/java/mindustry/annotations/misc/LogicStatementProcessor.java"", ""class"": ""LogicStatementProcessor"", ""method"": ""process"", ""begin_line"": ""17"", ""end_line"": ""17""}",PASS_GE80,tests/src/test/java/MindustryLogicStatementProcessorCoverageBoost_ESTest.java,./gradlew :tests:cleanTest :tests:test --tests MindustryLogicStatementProcessorCoverageBoost_ESTest --no-build-cache --no-daemon,100.0,acde88dcdf
3,java,nested_complexity,Mindustry-v154.3,/opt/projects/Mindustry-v154.3,core/src/mindustry/ai/Astar.java:29,23.0,"The method 'pathfind(int, int, int, int, TileHeuristic, DistanceHeuristic, Boolf<Tile>)' has a cognitive complexity of 23, current threshold is 20",1,1,"{""file"": ""core/src/mindustry/ai/Astar.java"", ""class"": ""Astar"", ""method"": ""pathfind"", ""begin_line"": ""29"", ""end_line"": ""29""}",PASS_GE80,tests/src/test/java/MindustryBacklogCoverageBoost_ESTest.java;tests/src/test/java/MindustryCoverageBoostHarness.java;tests/src/test/java/MindustryGameAiCoverageBoost_ESTest.java;tests/src/test/java/MindustryLogicCoverageBoost_ESTest.java;tests/src/test/java/MindustryLogicQueueCoverageBoost_ESTest.java;tests/src/test/java/MindustryTeamsUnitsCoverageBoost_ESTest.java;tests/src/test/java/NetClientCoverageBoost_ESTest.java,./gradlew :tests:cleanTest :tests:test --tests MindustryBacklogCoverageBoost_ESTest --tests MindustryCoverageBoostHarness --tests MindustryGameAiCoverageBoost_ESTest --tests MindustryLogicCoverageBoost_ESTest --tests MindustryLogicQueueCoverageBoost_ESTest --tests MindustryTeamsUnitsCoverageBoost_ESTest --tests NetClientCoverageBoost_ESTest --no-build-cache --no-daemon,100.0,acde88dcdf58
4,java,nested_complexity,Mindustry-v154.3,/opt/projects/Mindustry-v154.3,core/src/mindustry/ai/BaseBuilderAI.java:51,78.0,"The method 'update()' has a cognitive complexity of 78, current threshold is 20",1,1,"{""file"": ""core/src/mindustry/ai/BaseBuilderAI.java"", ""class"": ""BaseBuilderAI"", ""method"": ""update"", ""begin_line"": ""51"", ""end_line"": ""51""}",REVIEW_WITH_SUBSTITUTE_TEST,tests/src/test/java/MindustryReviewOnlySourceAnchor_ESTest.java,./gradlew :tests:cleanTest :tests:test --tests MindustryReviewOnlySourceAnchor_ESTest --no-build-cache --no-daemon,-1,06a1397d310b
5,java,nested_complexity,Mindustry-v154.3,/opt/projects/Mindustry-v154.3,core/src/mindustry/ai/BlockIndexer.java:552,23.0,"The method 'process(Tile)' has a cognitive complexity of 23, current threshold is 20",1,1,"{""file"": ""core/src/mindustry/ai/BlockIndexer.java"", ""class"": ""BlockIndexer"", ""method"": ""process"", ""begin_line"": ""552"", ""end_line"": ""552""}",PASS_GE80,tests/src/test/java/MindustryBlockIndexerCoverageBoost_ESTest.java,./gradlew :tests:cleanTest :tests:test --tests MindustryBlockIndexerCoverageBoost_ESTest --no-build-cache --no-daemon,88.5,acde88dcdf
6,java,nested_complexity,Mindustry-v154.3,/opt/projects/Mindustry-v154.3,core/src/mindustry/core/Control.java:635,58.0,"The method 'update()' has a cognitive complexity of 58, current threshold is 20",1,1,"{""file"": ""core/src/mindustry/core/Control.java"", ""class"": ""Control"", ""method"": ""update"", ""begin_line"": ""635"", ""end_line"": ""635""}",PASS_GE80,tests/src/test/java/MindustryControlCoverageBoost_ESTest.java,./gradlew :tests:cleanTest :tests:test --tests MindustryControlCoverageBoost_ESTest --no-build-cache --no-daemon,94.0,acde88dcdf
7,java,nested_complexity,Mindustry-v154.3,/opt/projects/Mindustry-v154.3,core/src/mindustry/core/NetServer.java:1071,23.0,"The method 'sync()' has a cognitive complexity of 23, current threshold is 20",1,1,"{""file"": ""core/src/mindustry/core/NetServer.java"", ""class"": ""NetServer"", ""method"": ""sync"", ""begin_line"": ""1071"", ""end_line"": ""1071""}",PASS_GE80,tests/src/test/java/MindustryNetServerCoverageBoost_ESTest.java,./gradlew :tests:cleanTest :tests:test --tests MindustryNetServerCoverageBoost_ESTest --no-build-cache --no-daemon,82.4,acde88dcdf
8,java,nested_complexity,Mindustry-v154.3,/opt/projects/Mindustry-v154.3,core/src/mindustry/core/Renderer.java:152,23.0,"The method 'update()' has a cognitive complexity of 23, current threshold is 20",1,1,"{""file"": ""core/src/mindustry/core/Renderer.java"", ""class"": ""Renderer"", ""method"": ""update"", ""begin_line"": ""152"", ""end_line"": ""152""}",REVIEW_WITH_SUBSTITUTE_TEST,tests/src/test/java/MindustryReviewOnlySourceAnchor_ESTest.java,./gradlew :tests:cleanTest :tests:test --tests MindustryReviewOnlySourceAnchor_ESTest --no-build-cache --no-daemon,-1,06a1397d310b
9,java,nested_complexity,Mindustry-v154.3,/opt/projects/Mindustry-v154.3,core/src/mindustry/editor/DrawOperation.java:71,22.0,"The method 'setTile(Tile, int, int)' has a cognitive complexity of 22, current threshold is 20",1,1,"{""file"": ""core/src/mindustry/editor/DrawOperation.java"", ""class"": ""DrawOperation"", ""method"": ""setTile"", ""begin_line"": ""71"", ""end_line"": ""71""}",PASS_GE80,tests/src/test/java/mindustry/editor/MindustryDrawOperationCoverageBoost_ESTest.java,./gradlew :tests:cleanTest :tests:test --tests mindustry.editor.MindustryDrawOperationCoverageBoost_ESTest --no-build-cache --no-daemon,100.0,acde88dcdf
10,java,nested_complexity,Mindustry-v154.3,/opt/projects/Mindustry-v154.3,core/src/mindustry/editor/EditorTool.java:219,38.0,"The method 'fill(int, int, boolean, Boolf<Tile>, Cons<Tile>)' has a cognitive complexity of 38, current threshold is 20",1,1,"{""file"": ""core/src/mindustry/editor/EditorTool.java"", ""class"": ""EditorTool"", ""method"": ""fill"", ""begin_line"": ""219"", ""end_line"": ""219""}",PASS_GE80,tests/src/test/java/mindustry/editor/MindustryEditorToolCoverageBoost_ESTest.java,./gradlew :tests:cleanTest :tests:test --tests mindustry.editor.MindustryEditorToolCoverageBoost_ESTest --no-build-cache --no-daemon,84.6,acde88dcdf
